t,m,ell,a1,a2,a3,b1,b2,b3,emb_m,emb_ell,aa,bb,p_phys,p_mask,no_test,no_success,p_log,d,k,adv
10,6,30,25,0,5,5,19,8,6,30,3,0,0.005,0.2,10001,9614,0.9613038696130388,18,8,0.5009909009246659
10,6,30,25,0,5,5,19,8,6,30,3,2,0.005,0.1666666666666666,10001,9717,0.9716028397160285,18,8,0.5115288890234081
10,6,30,25,0,5,5,19,8,6,30,3,3,0.005,0.2,10001,9596,0.9595040495950404,18,8,0.4575023193033377
10,6,30,25,0,5,5,28,11,6,30,0,0,0.005,0.2333333333333333,10001,9396,0.9395060493950604,18,8,0.4746191636454375
10,6,30,25,0,5,5,6,17,6,30,4,0,0.005,0.2,10001,9569,0.9568043195680432,18,8,0.510227426051814
10,6,30,25,0,5,5,6,17,6,30,4,2,0.005,0.1666666666666666,10001,9697,0.9696030396960305,20,8,0.5215000730946311
10,6,30,25,0,5,5,6,17,6,30,4,3,0.005,0.2,10001,9587,0.9586041395860414,18,8,0.4673953448858722
10,6,30,25,0,5,5,6,17,6,30,5,0,0.005,0.2,10001,9572,0.9571042895710428,20,8,0.5009909009246659
10,6,30,25,0,5,5,6,17,6,30,5,2,0.005,0.1666666666666666,10001,9683,0.9682031796820318,18,8,0.5115288890234079
10,6,30,25,0,5,5,6,17,6,30,5,3,0.005,0.2,10001,9569,0.9568043195680432,18,8,0.4575023193033376
10,6,30,25,1,0,0,8,17,6,30,2,5,0.005,0.1666666666666666,10001,9591,0.959004099590041,16,8,0.5102488622562747
10,6,30,25,1,0,0,8,17,6,30,3,4,0.005,0.2,10001,9504,0.9503049695030495,16,8,0.45750842194339836
10,6,30,25,1,0,0,8,17,6,30,3,5,0.005,0.1666666666666666,10001,9573,0.9572042795720428,16,8,0.5142877894295346
10,6,30,25,1,0,1,24,8,6,30,5,0,0.005,0.2333333333333333,10001,9369,0.9368063193680632,18,8,0.48565505875265746
10,6,30,25,1,0,1,6,17,6,30,0,0,0.005,0.2,10001,9559,0.9558044195580442,18,8,0.510227426051814
10,6,30,25,1,0,1,6,17,6,30,0,2,0.005,0.1666666666666666,10001,9705,0.9704029597040296,18,8,0.521500073094631
10,6,30,25,1,0,1,6,17,6,30,0,3,0.005,0.2,10001,9567,0.9566043395660434,20,8,0.46739534488587225
10,6,30,25,1,0,1,6,17,6,30,1,0,0.005,0.2,10001,9578,0.9577042295770424,18,8,0.5009909009246659
